processing_id,expedition_id,target_species,processing_date,batch_number,sample_type,processing_method,input_biomass_g,processing_temperature,processing_duration_hours,yield_percentage,final_extract_volume_ml,protein_concentration,contamination_level,storage_conditions,quality_control_passed,processing_cost_usd,technician,equipment_used,safety_protocol,waste_disposal_method,processing_notes
EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-07-14,1,Sponge Tissue,Homogenization and Extraction,177.5,-52.7,43.7,58.7,284.6,2.31,None,-80°C Ultra-low,True,2511.75,Maria Aguilar,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,True avoid young cup position.
EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-08,2,Sponge Tissue,Homogenization and Extraction,177.5,-22.6,19.5,83.1,64.3,8.51,None,Liquid Nitrogen,True,689.11,Anna Boone,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Business walk anything under item right.
EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-16,3,Sponge Tissue,Homogenization and Extraction,177.5,-50.6,41.5,28.4,456.3,15.1,None,-20°C Freezer,False,4122.08,James Simmons MD,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Every land chance pass.
EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-06,4,Sponge Tissue,Homogenization and Extraction,177.5,-3.7,16.0,71.4,147.9,17.47,None,4°C Refrigerated,False,1006.61,Maria Porter,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Look because him information poor something eat.
EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-04-26,1,Crude Venom,Lyophilization and Fractionation,1745.0,-69.9,13.1,6.0,239.7,6.1,None,Liquid Nitrogen,True,3192.61,Kimberly Smith MD,"Venom Lyophilizer, Safety Hood","Level 3 Containment, Antivenom Available",Chemical Waste,Look sit general not focus establish.
EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-05-17,2,Crude Venom,Lyophilization and Fractionation,1745.0,-2.0,4.2,77.2,427.6,13.39,None,Liquid Nitrogen,True,3169.5,Kyle Johnson,"Venom Lyophilizer, Safety Hood","Level 3 Containment, Antivenom Available",Incineration,Around yard morning short yourself.
EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-01,3,Crude Venom,Lyophilization and Fractionation,1745.0,-71.7,13.0,68.6,27.0,11.7,Low,Liquid Nitrogen,True,4979.47,Ariel Sandoval,"Venom Lyophilizer, Safety Hood","Level 3 Containment, Antivenom Available",Biohazard,Move social say shake way.
EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-05-15,4,Crude Venom,Lyophilization and Fractionation,1745.0,-73.3,40.2,52.9,66.3,1.97,Low,-80°C Ultra-low,True,4593.32,Vickie Price,"Venom Lyophilizer, Safety Hood","Level 3 Containment, Antivenom Available",Chemical Waste,Compare or south recently.
EXP-0003-PROC-1,EXP-0003,Bothrops jararaca,2025-07-16,1,Crude Venom,Lyophilization and Fractionation,1100.0,12.3,28.3,46.4,220.9,6.41,None,Liquid Nitrogen,True,2455.68,Alyssa Haynes,"Venom Lyophilizer, Safety Hood","Level 3 Containment, Antivenom Available",Biohazard,Nor none could write think man finally.
EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-03-20,1,Venom Sac,Lyophilization and Fractionation,1547.5,13.7,22.4,53.6,319.3,11.87,None,-80°C Ultra-low,True,3661.85,Brandon Hall II,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Long forward pass southern future concern sort.
EXP-0004-PROC-2,EXP-0004,Conus geographus,2025-03-27,2,Venom Sac,Lyophilization and Fractionation,1547.5,-69.1,19.7,44.0,329.6,19.02,None,4°C Refrigerated,True,3202.93,Amy Hernandez,Standard Processing Equipment,Standard Laboratory Safety,Biohazard,Similar suffer team whether.
EXP-0004-PROC-3,EXP-0004,Conus geographus,2025-03-29,3,Venom Sac,Lyophilization and Fractionation,1547.5,-13.4,5.3,25.4,187.3,9.5,None,4°C Refrigerated,True,705.42,Tom Foster,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,From follow wish run.
EXP-0004-PROC-4,EXP-0004,Conus geographus,2025-04-08,4,Venom Sac,Lyophilization and Fractionation,1547.5,22.0,17.2,43.6,106.1,12.25,None,Liquid Nitrogen,True,1763.07,Mark Freeman,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Company why really up skin development.
EXP-0005-PROC-1,EXP-0005,Salinispora tropica,2023-11-20,1,Bacterial Culture,Fermentation and Extraction,2220.0,-79.4,2.4,22.5,28.0,2.25,None,-80°C Ultra-low,True,2024.87,Casey Parker,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Camera rock we we hot.
EXP-0005-PROC-2,EXP-0005,Salinispora tropica,2023-11-12,2,Bacterial Culture,Fermentation and Extraction,2220.0,-26.2,15.5,79.5,204.5,1.83,Low,-80°C Ultra-low,True,3276.8,Traci Johnson DDS,Standard Processing Equipment,Standard Laboratory Safety,Chemical Waste,Determine not view cell seat draw word collection.
EXP-0005-PROC-3,EXP-0005,Salinispora tropica,2023-11-19,3,Bacterial Culture,Fermentation and Extraction,2220.0,-26.7,42.2,44.5,354.1,19.86,None,-80°C Ultra-low,True,1091.7,Ann Fletcher,Standard Processing Equipment,Standard Laboratory Safety,Incineration,Land enter economic attack either blue.
EXP-0005-PROC-4,EXP-0005,Salinispora tropica,2023-11-13,4,Bacterial Culture,Fermentation and Extraction,2220.0,-35.7,20.9,77.6,359.9,12.2,None,-80°C Ultra-low,True,1892.18,James Oconnor,Standard Processing Equipment,Standard Laboratory Safety,Biohazard,This manage her national.
EXP-0006-PROC-1,EXP-0006,Salinispora tropica,2025-10-07,1,Bacterial Culture,Fermentation and Extraction,3680.0,6.2,2.1,55.9,35.1,5.23,Low,-80°C Ultra-low,False,767.86,John Shields,Standard Processing Equipment,Standard Laboratory Safety,Incineration,Class available suffer far five.
